Method,File_Size_Bytes,Time_Taken_Seconds
AES,28318,0.0059
AES,98870,0.0086
AES,352742,0.0203
AES,16024794,0.5514
AES,72636361,2.6487
AES,155632156,9.2571
AES,194722563,7.5819
AES,206620493,17.0168
AES,231067053,13.9668
AES,237333342,16.8719
AES,249062043,15.1914
AES,252210764,18.7771
AES,267547480,15.8382
AES,290716067,22.4281
AES,292568621,12.4753
AES,304138972,21.1724
AES,333093498,22.794
AES,371659301,15.285228571428572
AES,375070496,28.2429
AES,390131128,27.1652
AES,486937960,26.3651
AES,523020745,32.8394
AES,566725585,33.8871
AES,648823892,37.5556
AES,675074379,38.1849
AES,737597114,45.6431
AES,741871701,46.8179
AES,748165790,42.1026
AES,821580220,57.0318
AES,924280634,54.2818
AES,996664042,56.4943
DES,28318,0.0256
DES,98870,0.0259
DES,352742,0.0951
DES,16024794,3.3395
DES,72636361,13.9027
DES,155632156,31.9035
DES,194722563,39.1907
DES,206620493,39.1939
DES,231067053,44.7435
DES,237333342,46.6002
DES,249062043,47.2964
DES,252210764,49.0702
DES,267547480,50.6729
DES,290716067,59.7864
DES,292568621,57.5437
DES,304138972,57.2392
DES,333093498,60.9107
DES,371659301,66.246
DES,375070496,72.5651
DES,390131128,70.1457
DES,486937960,95.0201
DES,523020745,99.8426
DES,566725585,108.0309
DES,648823892,124.2131
DES,675074379,123.1865
DES,737597114,139.6618
DES,741871701,134.0935
DES,748165790,135.2308
DES,821580220,149.9387
DES,924280634,177.9104
DES,996664042,182.5022
RC4,28318,0.007
RC4,98870,0.006
RC4,352742,0.0117
RC4,16024794,0.4776
RC4,72636361,3.83975
RC4,155632156,6.3401
RC4,194722563,13.2017
RC4,206620493,12.2057
RC4,231067053,16.0569
RC4,237333342,18.0886
RC4,249062043,13.8885
RC4,252210764,19.7917
RC4,267547480,15.6801
RC4,290716067,22.5046
RC4,292568621,10.27525
RC4,304138972,18.5267
RC4,333093498,21.3143
RC4,371659301,13.355
RC4,375070496,24.6165
RC4,390131128,22.4609
RC4,486937960,29.9321
RC4,523020745,32.9463
RC4,566725585,34.5445
RC4,648823892,39.4042
RC4,675074379,41.2922
RC4,737597114,43.6636
RC4,741871701,39.4592
RC4,748165790,40.8019
RC4,821580220,51.7572
RC4,924280634,57.3361
RC4,996664042,57.4541
AES,28318,0.0218
AES,98870,0.0231
AES,352742,0.0338
AES,16024794,0.4475
AES,72636361,3.04125
AES,155632156,5.9901
AES,194722563,9.9914
AES,206620493,14.9106
AES,231067053,12.5939
AES,249062043,8.1602
AES,252210764,11.2657
AES,267547480,10.7923
AES,290716067,19.889
AES,292568621,10.984200000000001
AES,304138972,13.63345
AES,333093498,13.6402
AES,371659301,13.467799999999999
AES,375070496,19.0406
AES,390131128,21.3604
AES,486937960,22.5568
AES,675074379,32.4227
AES,741871701,36.3444
AES,821580220,36.5231
AES,924280634,54.310500000000005
AES,996664042,49.983999999999995
DES,28318,0.0193
DES,98870,0.0454
DES,352742,0.0753
DES,16024794,2.8658
DES,72636361,13.1755
DES,155632156,32.0993
DES,194722563,37.4724
DES,206620493,41.5945
DES,231067053,45.6874
DES,249062043,49.4457
DES,252210764,49.4673
DES,267547480,52.5032
DES,290716067,60.0634
DES,292568621,49.9231
DES,304138972,64.4875
DES,333093498,63.5881
DES,371659301,69.0485
DES,375070496,76.6924
DES,390131128,85.6913
DES,675074379,141.528
DES,741871701,136.8773
DES,821580220,159.4455
DES,924280634,168.6909
DES,996664042,184.4641
RC4,28318,0.0075
RC4,98870,0.2383
RC4,352742,0.0468
RC4,16024794,1.092
RC4,72636361,3.404733333333333
RC4,155632156,5.8296
RC4,194722563,6.6762
RC4,206620493,12.6391
RC4,231067053,7.463800000000001
RC4,249062043,11.7568
RC4,252210764,8.7968
RC4,267547480,8.0553
RC4,290716067,9.5461
RC4,292568621,9.06915
RC4,304138972,13.6437
RC4,333093498,9.2456
RC4,371659301,15.4771
RC4,375070496,9.9254
RC4,390131128,13.0816
RC4,486937960,16.9175
RC4,675074379,36.9164
RC4,741871701,38.4974
RC4,821580220,33.2373
RC4,924280634,51.0072
RC4,996664042,54.6459
